language,weighted_degree
en,4113435204
pt_BR,3385342570
ro,3207283116
es,3159117508
ar,2942581732
nl,2796109936
pl,2795523700
tr,2736857456
el,2731658238
fr,2709956800
pt,2629719062
hu,2600178726
it,2597236828
cs,2519693900
de,2429225324
fi,2421400244
he,2365480752
id,2259622052
ru,2248156590
sv,2236065824
da,2192174016
hr,2178866668
bg,2132633528
fa,2092192622
sr,2019971820
no,1730229184
vi,1569677004
ko,1380329832
th,1143817920
sl,1035930996
et,1016599262
zh_CN,1012745784
zh_TW,857424684
bs,790500100
ms,741457464
sk,589737418
uk,565947924
bn,343839344
es_419,271824414
mk,270591458
is,243799904
lt,211171688
hi,161689426
sq,127201172
si,126527156
ja,124644462
lv,112091526
ml,105741340
ta,97832198
es_ES,94386268
te,81333918
ur,67869234
eu,61403860
ca,60197566
my,56941694
tl,56106546
gl,39193744
km,31505060
cy,30854444
zh_ze,22868720
ka,14109198
en_ze,11473010
ku,10833770
yue,10597322
az,9981744
be,9415372
tt,8062230
eo,4544672
ne,3926818
kk,3556610
sd,3419278
mn,3400988
af,3400896
kn,2865434
sw,1570020
ast,1089414
oc,950406
ga,881086
gd,757552
pt_MZ,505186
hy,290066
lb,284666
br,234380
nn,183208
am,168512
ig,141080
as,136908
an,102384
or,94898
so,26216
mr,13410
se,10948
uz,2656
